date	positive	negative	ratio
2012-10-31	146	7172	0.0203569436698
2012-10-30	214	7325	0.0292150170648
2012-07-31	59	2035	0.0289926289926
2012-07-30	65	1881	0.0345560871877
2012-09-29	66	2709	0.0243632336656
2012-07-06	68	2643	0.0257283390087
2012-07-07	13	335	0.0388059701493
2012-07-04	78	1262	0.0618066561014
2012-09-26	87	4720	0.0184322033898
2012-09-27	77	4476	0.0172028596962
2012-09-24	88	4154	0.0211844005778
2012-09-25	92	5437	0.0169210961928
2012-09-22	66	2827	0.0233463035019
2012-09-23	51	2775	0.0183783783784
2012-09-20	65	5058	0.012850929221
2012-09-21	80	4263	0.0187661271405
2012-07-02	46	2460	0.0186991869919
2012-08-30	106	4861	0.0218062127134
2012-08-31	133	9470	0.0140443505808
2012-09-28	82	3705	0.0221322537112
2012-07-03	11	455	0.0241758241758
2012-07-01	42	1708	0.0245901639344
2012-08-29	80	4444	0.01800180018
2012-08-28	53	2948	0.0179782903664
2012-09-30	74	2745	0.0269581056466
2012-08-21	46	2797	0.0164461923489
2012-08-20	58	2795	0.0207513416816
2012-08-23	38	2046	0.0185728250244
2012-08-22	38	2447	0.0155292194524
2012-08-25	42	2263	0.0185594343791
2012-08-27	61	2608	0.0233895705521
2012-08-26	48	1644	0.029197080292
2012-09-08	97	4371	0.0221917181423
2012-09-09	64	4746	0.0134850400337
2012-09-01	78	3203	0.0243521698408
2012-09-02	28	1713	0.0163455925277
2012-09-03	47	2353	0.0199745006375
2012-09-04	83	5392	0.0153931750742
2012-09-05	480	19564	0.0245348599468
2012-09-06	151	11644	0.0129680522157
2012-09-07	394	30139	0.0130727628654
2012-08-18	73	1954	0.0373592630502
2012-08-19	62	1833	0.0338243316967
2012-08-14	71	2662	0.026671675432
2012-08-15	76	3078	0.0246913580247
2012-08-16	86	2875	0.0299130434783
2012-08-17	86	2375	0.0362105263158
2012-08-10	77	2225	0.034606741573
2012-08-11	96	3282	0.0292504570384
2012-08-12	71	2601	0.0272971933872
2012-08-13	44	1596	0.0275689223058
2012-11-05	231	19416	0.0118974042027
2012-11-04	180	10474	0.0171854114951
2012-11-07	456	106999	0.00426172207217
2012-11-06	574	65213	0.00880192599635
2012-11-01	158	8389	0.0188341876267
2012-11-03	3	119	0.0252100840336
2012-11-02	160	8914	0.0179492932466
2012-10-08	93	5082	0.0182998819362
2012-10-09	129	5817	0.0221763795771
2012-10-02	81	4205	0.0192627824019
2012-10-03	165	7377	0.0223668157788
2012-10-01	82	3690	0.0222222222222
2012-10-06	99	3731	0.0265344411686
2012-10-07	67	3524	0.0190124858116
2012-10-04	457	62031	0.00736728409989
2012-10-05	137	6446	0.0212534905368
2012-09-19	120	5161	0.0232513078861
2012-09-18	111	5429	0.0204457542826
2012-09-17	93	4149	0.0224150397686
2012-09-16	60	3184	0.0188442211055
2012-09-15	101	3401	0.0296971478977
2012-09-14	97	4898	0.0198040016333
2012-09-13	115	6188	0.0185843568197
2012-09-12	119	6369	0.0186842518449
2012-09-11	77	4386	0.0175558595531
2012-09-10	86	4564	0.0188431200701
2012-08-03	91	2192	0.0415145985401
2012-08-02	57	2421	0.0235439900867
2012-08-01	64	2516	0.0254372019078
2012-07-05	41	1885	0.02175066313
2012-08-07	59	2874	0.0205288796103
2012-08-06	63	2238	0.0281501340483
2012-08-05	246	1547	0.159017453135
2012-08-04	1153	2073	0.556198745779
2012-08-09	82	2285	0.035886214442
2012-08-08	62	2650	0.0233962264151
2012-07-08	34	1023	0.0332355816227
2012-07-09	65	2171	0.0299401197605
2012-10-19	147	6467	0.0227307870728
2012-10-18	112	7225	0.0155017301038
2012-10-10	96	5294	0.0181337363053
2012-10-13	70	3221	0.0217323812481
2012-10-12	122	9720	0.0125514403292
2012-10-15	155	4357	0.0355749368832
2012-10-14	99	3242	0.0305367057372
2012-10-17	303	56005	0.00541023122935
2012-10-16	114	6245	0.0182546036829
2012-06-29	24	1110	0.0216216216216
2012-06-28	128	8907	0.0143707196587
2012-06-27	39	1797	0.0217028380634
2012-06-26	10	402	0.0248756218905
2012-06-25	30	1852	0.0161987041037
2012-07-15	46	2034	0.0226155358899
2012-07-14	40	1626	0.0246002460025
2012-07-17	11	618	0.0177993527508
2012-07-16	33	1355	0.0243542435424
2012-07-11	55	2099	0.0262029537875
2012-07-10	19	955	0.0198952879581
2012-07-13	30	1544	0.0194300518135
2012-07-12	52	2165	0.0240184757506
2012-06-30	44	1514	0.0290620871863
2012-07-19	35	1039	0.0336862367661
2012-07-18	2	78	0.025641025641
2012-10-28	126	5961	0.0211373930549
2012-10-29	153	7065	0.0216560509554
2012-10-24	167	8479	0.0196957188348
2012-10-25	143	8604	0.016620176662
2012-10-26	168	7953	0.0211241041117
2012-10-27	143	5958	0.0240013427325
2012-10-20	117	4427	0.0264287327761
2012-10-21	128	4236	0.0302171860246
2012-10-22	125	6395	0.0195465207193
2012-10-23	283	39753	0.00711895957538
2012-07-28	75	1637	0.0458155161881
2012-07-29	47	1558	0.0301668806162
2012-07-20	56	2420	0.0231404958678
2012-07-21	30	1424	0.0210674157303
2012-07-22	40	1367	0.0292611558157
2012-07-23	56	2088	0.0268199233716
2012-07-24	70	2512	0.0278662420382
2012-07-25	66	2075	0.0318072289157
2012-07-26	72	2111	0.0341070582662
2012-07-27	97	2160	0.0449074074074
