date	positive	negative	ratio
2012-10-31	4532	2786	1.62670495334
2012-10-30	4307	3232	1.33261138614
2012-07-31	1243	851	1.46063454759
2012-07-30	1181	765	1.54379084967
2012-09-29	1647	1128	1.46010638298
2012-07-06	1536	1175	1.30723404255
2012-07-07	196	152	1.28947368421
2012-07-04	825	515	1.60194174757
2012-09-26	2945	1862	1.58163265306
2012-09-27	2660	1893	1.40517696778
2012-09-24	2493	1749	1.42538593482
2012-09-25	3320	2209	1.50294250792
2012-09-22	1776	1117	1.58997314235
2012-09-23	1689	1137	1.48548812665
2012-09-20	3046	2077	1.46653827636
2012-09-21	2551	1792	1.42354910714
2012-07-02	1326	1180	1.12372881356
2012-08-30	2876	2091	1.37541846007
2012-08-31	5085	4518	1.12549800797
2012-09-28	2264	1523	1.48653972423
2012-07-03	289	177	1.63276836158
2012-07-01	900	850	1.05882352941
2012-08-29	2456	2068	1.18762088975
2012-08-28	1675	1326	1.26319758673
2012-09-30	1640	1179	1.39100932994
2012-08-21	1674	1169	1.43199315654
2012-08-20	1734	1119	1.54959785523
2012-08-23	1223	861	1.42044134727
2012-08-22	1532	953	1.60755508919
2012-08-25	1490	815	1.8282208589
2012-08-27	1598	1071	1.49206349206
2012-08-26	1051	641	1.63962558502
2012-09-08	2475	1993	1.24184646262
2012-09-09	2309	2501	0.923230707717
2012-09-01	1947	1334	1.45952023988
2012-09-02	978	763	1.28178243775
2012-09-03	1508	892	1.69058295964
2012-09-04	3305	2170	1.52304147465
2012-09-05	11947	8097	1.47548474744
2012-09-06	7217	4578	1.57645259939
2012-09-07	16833	13700	1.22868613139
2012-08-18	1178	849	1.3875147232
2012-08-19	1138	757	1.50330250991
2012-08-14	1570	1163	1.34995700774
2012-08-15	1782	1372	1.29883381924
2012-08-16	1710	1251	1.36690647482
2012-08-17	1395	1066	1.308630394
2012-08-10	1401	901	1.55493895671
2012-08-11	2093	1285	1.62879377432
2012-08-12	1536	1136	1.35211267606
2012-08-13	965	675	1.42962962963
2012-11-05	12455	7192	1.73178531702
2012-11-04	6145	4509	1.36282989576
2012-11-07	59269	48186	1.23000456564
2012-11-06	40615	25172	1.61349912601
2012-11-01	5315	3232	1.64449257426
2012-11-03	62	60	1.03333333333
2012-11-02	5579	3495	1.59628040057
2012-10-08	2999	2176	1.37821691176
2012-10-09	3272	2674	1.22363500374
2012-10-02	2570	1716	1.49766899767
2012-10-03	4681	2861	1.63614120937
2012-10-01	2336	1436	1.62674094708
2012-10-06	2293	1537	1.49186727391
2012-10-07	2059	1532	1.34399477807
2012-10-04	29799	32689	0.911591055095
2012-10-05	3655	2928	1.24829234973
2012-09-19	3141	2140	1.46775700935
2012-09-18	3092	2448	1.26307189542
2012-09-17	2484	1758	1.41296928328
2012-09-16	1789	1455	1.2295532646
2012-09-15	2018	1484	1.35983827493
2012-09-14	2964	2031	1.45937961595
2012-09-13	3601	2702	1.33271650629
2012-09-12	3772	2716	1.38880706922
2012-09-11	2750	1713	1.60537069469
2012-09-10	2687	1963	1.36882322975
2012-08-03	1414	869	1.62715765247
2012-08-02	1486	992	1.49798387097
2012-08-01	1743	837	2.08243727599
2012-07-05	1147	779	1.47240051348
2012-08-07	1671	1262	1.32408874802
2012-08-06	1406	895	1.57094972067
2012-08-05	1134	659	1.72078907436
2012-08-04	2389	837	2.85424133811
2012-08-09	1383	984	1.40548780488
2012-08-08	1708	1004	1.70119521912
2012-07-08	617	440	1.40227272727
2012-07-09	1338	898	1.48997772829
2012-10-19	3883	2731	1.42182350787
2012-10-18	4185	3152	1.3277284264
2012-10-10	3061	2329	1.31429798197
2012-10-13	1865	1426	1.30785413745
2012-10-12	4970	4872	1.02011494253
2012-10-15	2726	1786	1.52631578947
2012-10-14	1859	1482	1.25438596491
2012-10-17	27519	28789	0.955885928653
2012-10-16	3688	2671	1.38075627106
2012-06-29	575	559	1.02862254025
2012-06-28	4803	4232	1.13492438563
2012-06-27	1127	709	1.58956276446
2012-06-26	220	192	1.14583333333
2012-06-25	1050	832	1.26201923077
2012-07-15	1067	1013	1.05330700888
2012-07-14	890	776	1.14690721649
2012-07-17	386	243	1.58847736626
2012-07-16	769	619	1.24232633279
2012-07-11	1277	877	1.45610034208
2012-07-10	531	443	1.19864559819
2012-07-13	897	677	1.32496307238
2012-07-12	1223	994	1.23038229376
2012-06-30	849	709	1.19746121298
2012-07-19	596	478	1.24686192469
2012-07-18	51	29	1.75862068966
2012-10-28	3795	2292	1.6557591623
2012-10-29	4342	2876	1.50973574409
2012-10-24	5136	3510	1.46324786325
2012-10-25	5603	3144	1.78212468193
2012-10-26	4945	3176	1.55698992443
2012-10-27	3753	2348	1.59838160136
2012-10-20	2709	1835	1.47629427793
2012-10-21	2685	1679	1.59916617034
2012-10-22	3785	2735	1.38391224863
2012-10-23	19523	20513	0.951737922293
2012-07-28	1024	688	1.48837209302
2012-07-29	977	628	1.55573248408
2012-07-20	1457	1019	1.42983316977
2012-07-21	778	676	1.15088757396
2012-07-22	856	551	1.55353901996
2012-07-23	1317	827	1.59250302297
2012-07-24	1546	1036	1.49227799228
2012-07-25	1241	900	1.37888888889
2012-07-26	1274	909	1.40154015402
2012-07-27	1349	908	1.48568281938
