date	positive	negative	ratio
2012-10-31	4963	2355	2.10743099788
2012-10-30	4976	2563	1.94147483418
2012-07-31	1341	753	1.78087649402
2012-07-30	1305	641	2.03588143526
2012-09-29	1743	1032	1.68895348837
2012-07-06	1748	963	1.81516095535
2012-07-07	216	132	1.63636363636
2012-07-04	940	400	2.35
2012-09-26	3214	1593	2.01757689893
2012-09-27	2973	1580	1.88164556962
2012-09-24	2808	1434	1.95815899582
2012-09-25	3657	1872	1.95352564103
2012-09-22	1958	935	2.09411764706
2012-09-23	1877	949	1.97787144362
2012-09-20	3261	1862	1.75134264232
2012-09-21	2848	1495	1.90501672241
2012-07-02	1571	935	1.68021390374
2012-08-30	3215	1752	1.8350456621
2012-08-31	6198	3405	1.82026431718
2012-09-28	2481	1306	1.89969372129
2012-07-03	316	150	2.10666666667
2012-07-01	1051	699	1.50357653791
2012-08-29	2729	1795	1.52033426184
2012-08-28	1898	1103	1.72076155938
2012-09-30	1850	969	1.90918472652
2012-08-21	1842	1001	1.84015984016
2012-08-20	1938	915	2.11803278689
2012-08-23	1317	767	1.71707953064
2012-08-22	1646	839	1.96185935638
2012-08-25	1555	750	2.07333333333
2012-08-27	1728	941	1.83634431456
2012-08-26	1103	589	1.8726655348
2012-09-08	2690	1778	1.51293588301
2012-09-09	2548	2262	1.12643678161
2012-09-01	2170	1111	1.95319531953
2012-09-02	1062	679	1.56406480118
2012-09-03	1580	820	1.92682926829
2012-09-04	3560	1915	1.8590078329
2012-09-05	13652	6392	2.13579474343
2012-09-06	8420	3375	2.49481481481
2012-09-07	18833	11700	1.60965811966
2012-08-18	1277	750	1.70266666667
2012-08-19	1195	700	1.70714285714
2012-08-14	1728	1005	1.71940298507
2012-08-15	1982	1172	1.69112627986
2012-08-16	1900	1061	1.79076343073
2012-08-17	1512	949	1.59325605901
2012-08-10	1536	766	2.00522193211
2012-08-11	2352	1026	2.29239766082
2012-08-12	1780	892	1.99551569507
2012-08-13	1048	592	1.77027027027
2012-11-05	12552	7095	1.76913319239
2012-11-04	6780	3874	1.75012906557
2012-11-07	64798	42657	1.51904728415
2012-11-06	42873	22914	1.87103953915
2012-11-01	5871	2676	2.19394618834
2012-11-03	76	46	1.65217391304
2012-11-02	6123	2951	2.07488986784
2012-10-08	3458	1717	2.01397786838
2012-10-09	3709	2237	1.65802413947
2012-10-02	2795	1491	1.87458081824
2012-10-03	5038	2504	2.01198083067
2012-10-01	2477	1295	1.91274131274
2012-10-06	2472	1358	1.82032400589
2012-10-07	2349	1242	1.89130434783
2012-10-04	33785	28703	1.17705466328
2012-10-05	4011	2572	1.55948678072
2012-09-19	3416	1865	1.83163538874
2012-09-18	3510	2030	1.72906403941
2012-09-17	2661	1581	1.68311195446
2012-09-16	2049	1195	1.71464435146
2012-09-15	2265	1237	1.83104284559
2012-09-14	3351	1644	2.03832116788
2012-09-13	4333	1970	2.19949238579
2012-09-12	4212	2276	1.85061511424
2012-09-11	2906	1557	1.86640976236
2012-09-10	2821	1829	1.54237288136
2012-08-03	1553	730	2.12739726027
2012-08-02	1632	846	1.92907801418
2012-08-01	1880	700	2.68571428571
2012-07-05	1285	641	2.00468018721
2012-08-07	1918	1015	1.88965517241
2012-08-06	1550	751	2.06391478029
2012-08-05	1236	557	2.21903052065
2012-08-04	2595	631	4.11251980983
2012-08-09	1510	857	1.76196032672
2012-08-08	1865	847	2.20188902007
2012-07-08	697	360	1.93611111111
2012-07-09	1494	742	2.01347708895
2012-10-19	4430	2184	2.02838827839
2012-10-18	4697	2640	1.77916666667
2012-10-10	3302	2088	1.58141762452
2012-10-13	2224	1067	2.08434864105
2012-10-12	6754	3088	2.1871761658
2012-10-15	3003	1509	1.99005964215
2012-10-14	2166	1175	1.84340425532
2012-10-17	31784	24524	1.29603653564
2012-10-16	4138	2221	1.8631247186
2012-06-29	726	408	1.77941176471
2012-06-28	6117	2918	2.09629883482
2012-06-27	1285	551	2.33212341198
2012-06-26	257	155	1.65806451613
2012-06-25	1291	591	2.18443316413
2012-07-15	1343	737	1.82225237449
2012-07-14	1027	639	1.60719874804
2012-07-17	414	215	1.92558139535
2012-07-16	874	514	1.70038910506
2012-07-11	1419	735	1.9306122449
2012-07-10	598	376	1.59042553191
2012-07-13	997	577	1.72790294627
2012-07-12	1390	827	1.6807738815
2012-06-30	1061	497	2.13480885312
2012-07-19	642	432	1.48611111111
2012-07-18	52	28	1.85714285714
2012-10-28	4160	1927	2.15879605605
2012-10-29	4788	2430	1.97037037037
2012-10-24	5729	2917	1.96400411382
2012-10-25	6013	2734	2.19934162399
2012-10-26	5422	2699	2.00889218229
2012-10-27	4141	1960	2.11275510204
2012-10-20	2995	1549	1.93350548741
2012-10-21	2917	1447	2.01589495508
2012-10-22	4186	2334	1.79348757498
2012-10-23	23231	16805	1.38238619458
2012-07-28	1153	559	2.0626118068
2012-07-29	1067	538	1.98327137546
2012-07-20	1618	858	1.88578088578
2012-07-21	908	546	1.663003663
2012-07-22	936	471	1.9872611465
2012-07-23	1417	727	1.94910591472
2012-07-24	1726	856	2.01635514019
2012-07-25	1354	787	1.72045743329
2012-07-26	1425	758	1.87994722955
2012-07-27	1506	751	2.00532623169
