date	positive	negative	neutral	sentiment
2012-10-31	4303	5975	3278	0.7201673640167364
2012-10-30	4276	6030	3320	0.7091210613598673
2012-07-31	1172	1704	871	0.687793427230047
2012-07-30	1069	1626	792	0.6574415744157441
2012-09-29	1599	2265	1240	0.7059602649006622
2012-07-06	1688	2287	1279	0.7380848272846524
2012-07-07	198	310	156	0.6387096774193548
2012-07-04	843	1089	537	0.7741046831955923
2012-09-26	2720	3877	2217	0.7015733814805262
2012-09-27	2682	3603	2011	0.7443796835970025
2012-09-24	2358	3508	2005	0.6721778791334093
2012-09-25	3409	4566	2638	0.7466053438458169
2012-09-22	1635	2405	1272	0.6798336798336798
2012-09-23	1585	2334	1230	0.6790916880891174
2012-09-20	2870	4228	2210	0.6788079470198676
2012-09-21	2533	3595	1978	0.7045897079276773
2012-07-02	1531	1935	1118	0.7912144702842377
2012-08-30	3185	4168	2374	0.7641554702495201
2012-08-31	5945	7851	4538	0.7572283785505031
2012-09-28	2188	3068	1692	0.7131681877444589
2012-07-03	290	352	209	0.8238636363636364
2012-07-01	1229	1439	724	0.8540653231410702
2012-08-29	2752	3817	2006	0.7209850668063924
2012-08-28	1803	2447	1316	0.7368205966489579
2012-09-30	1547	2219	1211	0.6971608832807571
2012-08-21	1659	2404	1339	0.690099833610649
2012-08-20	1689	2374	1384	0.7114574557708508
2012-08-23	1191	1685	905	0.7068249258160237
2012-08-22	1396	2023	1090	0.690064260998517
2012-08-25	1441	1886	1041	0.764050901378579
2012-08-27	1582	2226	1160	0.710691823899371
2012-08-26	1064	1406	735	0.7567567567567568
2012-09-08	2419	3425	1790	0.7062773722627738
2012-09-09	2496	3506	1808	0.7119224187107815
2012-09-01	2086	2723	1481	0.7660668380462725
2012-09-02	1120	1431	838	0.782669461914745
2012-09-03	1441	1936	1082	0.7443181818181818
2012-09-04	3116	4537	2471	0.6867974432444347
2012-09-05	12116	17473	9702	0.6934126938705432
2012-09-06	6826	9892	5081	0.6900525677315003
2012-09-07	17708	23168	12909	0.7643301104972375
2012-08-18	1264	1714	954	0.7374562427071178
2012-08-19	1155	1626	824	0.7103321033210332
2012-08-14	1713	2206	1358	0.7765185856754306
2012-08-15	1986	2565	1456	0.7742690058479532
2012-08-16	1687	2451	1354	0.6882904936760506
2012-08-17	1532	2086	1062	0.7344199424736337
2012-08-10	1317	1965	1064	0.6702290076335878
2012-08-11	2064	2914	1662	0.7083047357584077
2012-08-12	1647	2296	1297	0.7173344947735192
2012-08-13	1056	1337	769	0.7898279730740464
2012-11-05	11563	15061	8423	0.7677445056769139
2012-11-04	6347	8404	4665	0.7552356020942408
2012-11-07	46722	74968	37353	0.6232259097214812
2012-11-06	33599	46784	24187	0.7181728796169631
2012-11-01	5174	6906	3960	0.74920359108022
2012-11-03	71	90	50	0.7888888888888889
2012-11-02	5247	7225	3898	0.7262283737024221
2012-10-08	2561	3917	1900	0.6538166964513659
2012-10-09	3152	4596	2406	0.6858137510879025
2012-10-02	2456	3494	1893	0.7029192902117917
2012-10-03	4558	6352	3255	0.7175692695214105
2012-10-01	2065	3000	1549	0.6883333333333334
2012-10-06	2121	3160	1634	0.6712025316455696
2012-10-07	1980	2906	1454	0.6813489332415692
2012-10-04	36420	48255	30401	0.7547404414050357
2012-10-05	3764	5453	2896	0.6902622409682744
2012-09-19	3113	4396	2438	0.7081437670609645
2012-09-18	3236	4577	2698	0.7070133275071008
2012-09-17	2418	3484	1926	0.6940298507462687
2012-09-16	1926	2602	1449	0.7401998462720983
2012-09-15	2068	2835	1472	0.7294532627865962
2012-09-14	2923	4167	2288	0.7014638828893689
2012-09-13	3713	5113	2836	0.7261881478584001
2012-09-12	4047	5403	3112	0.7490283176013326
2012-09-11	2463	3622	1927	0.6800110436223081
2012-09-10	2486	3606	1907	0.6894065446478093
2012-08-03	1297	1872	1005	0.6928418803418803
2012-08-02	1422	2005	1124	0.7092269326683291
2012-08-01	1641	2196	1214	0.7472677595628415
2012-07-05	1212	1582	807	0.7661188369152971
2012-08-07	1723	2331	1267	0.7391677391677391
2012-08-06	1423	1866	976	0.762593783494105
2012-08-05	995	1487	693	0.6691324815063887
2012-08-04	1574	2615	986	0.6019120458891013
2012-08-09	1468	1959	1118	0.7493619193466055
2012-08-08	1580	2187	1150	0.7224508459076361
2012-07-08	588	863	474	0.6813441483198146
2012-07-09	1287	1911	1002	0.673469387755102
2012-10-19	4119	5460	2858	0.7543956043956044
2012-10-18	4294	5817	3432	0.7381811930548393
2012-10-10	3013	4227	2324	0.7127986751833452
2012-10-13	1899	2702	1342	0.7028127313101407
2012-10-12	6111	8389	4955	0.7284539277625461
2012-10-15	2632	3740	2200	0.7037433155080214
2012-10-14	1866	2657	1507	0.7022958223560406
2012-10-17	32482	44202	27555	0.7348536265327361
2012-10-16	3846	5329	2838	0.7217113905047852
2012-06-29	898	931	584	0.9645542427497314
2012-06-28	7277	7008	4241	1.0383847031963471
2012-06-27	1165	1409	809	0.8268275372604684
2012-06-26	239	332	193	0.7198795180722891
2012-06-25	1088	1501	849	0.7248500999333778
2012-07-15	1185	1840	970	0.6440217391304348
2012-07-14	957	1394	717	0.6865136298421808
2012-07-17	350	508	283	0.6889763779527559
2012-07-16	820	1173	674	0.6990622335890878
2012-07-11	1371	1782	978	0.7693602693602694
2012-07-10	455	767	386	0.5932203389830508
2012-07-13	896	1335	709	0.6711610486891386
2012-07-12	1342	1827	949	0.7345374931581828
2012-06-30	1024	1279	767	0.800625488663018
2012-07-19	672	898	506	0.7483296213808464
2012-07-18	48	74	46	0.6486486486486487
2012-10-28	3603	4992	2645	0.7217548076923077
2012-10-29	4038	5735	3088	0.7040976460331299
2012-10-24	5057	7078	4023	0.7144673636620514
2012-10-25	5419	7002	3993	0.7739217366466724
