date	positive	negative	ratio
2012-10-31	5107	2211	2.30981456355
2012-10-30	4874	2665	1.82889305816
2012-07-31	1432	662	2.16314199396
2012-07-30	1394	552	2.52536231884
2012-09-29	1885	890	2.11797752809
2012-07-06	1776	935	1.89946524064
2012-07-07	208	140	1.48571428571
2012-07-04	965	375	2.57333333333
2012-09-26	3304	1503	2.19827012641
2012-09-27	3109	1444	2.15304709141
2012-09-24	2822	1420	1.98732394366
2012-09-25	3708	1821	2.03624382208
2012-09-22	2022	871	2.3214695752
2012-09-23	1940	886	2.18961625282
2012-09-20	3443	1680	2.0494047619
2012-09-21	2945	1398	2.10658082976
2012-07-02	1552	954	1.62683438155
2012-08-30	3167	1800	1.75944444444
2012-08-31	5529	4074	1.35714285714
2012-09-28	2628	1159	2.26747195858
2012-07-03	327	139	2.35251798561
2012-07-01	1158	592	1.95608108108
2012-08-29	2809	1715	1.63790087464
2012-08-28	1952	1049	1.86081982841
2012-09-30	1901	918	2.07080610022
2012-08-21	1960	883	2.21970554926
2012-08-20	1941	912	2.12828947368
2012-08-23	1363	721	1.89042995839
2012-08-22	1725	760	2.26973684211
2012-08-25	1681	624	2.69391025641
2012-08-27	1831	838	2.18496420048
2012-08-26	1206	486	2.48148148148
2012-09-08	2845	1623	1.75292667899
2012-09-09	2708	2102	1.28829686013
2012-09-01	2151	1130	1.90353982301
2012-09-02	1089	652	1.67024539877
2012-09-03	1688	712	2.37078651685
2012-09-04	3610	1865	1.93565683646
2012-09-05	13157	6887	1.91041091912
2012-09-06	7568	4227	1.79039507925
2012-09-07	18376	12157	1.51155712758
2012-08-18	1382	645	2.14263565891
2012-08-19	1304	591	2.20642978003
2012-08-14	1882	851	2.21151586369
2012-08-15	2048	1106	1.85171790235
2012-08-16	1989	972	2.0462962963
2012-08-17	1645	816	2.01593137255
2012-08-10	1571	731	2.14911080711
2012-08-11	2277	1101	2.06811989101
2012-08-12	1761	911	1.93304061471
2012-08-13	1102	538	2.04832713755
2012-11-05	13475	6172	2.18324692158
2012-11-04	6687	3967	1.68565666751
2012-11-07	64562	42893	1.5051873266
2012-11-06	43850	21937	1.99890595797
2012-11-01	5965	2582	2.31022463207
2012-11-03	69	53	1.30188679245
2012-11-02	6326	2748	2.30203784571
2012-10-08	3426	1749	1.95883361921
2012-10-09	3819	2127	1.79548660085
2012-10-02	2938	1348	2.17952522255
2012-10-03	5171	2371	2.18093631379
2012-10-01	2629	1143	2.30008748906
2012-10-06	2554	1276	2.00156739812
2012-10-07	2431	1160	2.09568965517
2012-10-04	33097	29391	1.12609302167
2012-10-05	4207	2376	1.77062289562
2012-09-19	3580	1701	2.10464432687
2012-09-18	3549	1991	1.78252134606
2012-09-17	2868	1374	2.08733624454
2012-09-16	2070	1174	1.76320272572
2012-09-15	2380	1122	2.12121212121
2012-09-14	3397	1598	2.12578222778
2012-09-13	4237	2066	2.05082284608
2012-09-12	4362	2126	2.05174035748
2012-09-11	3123	1340	2.33059701493
2012-09-10	3101	1549	2.00193673338
2012-08-03	1593	690	2.30869565217
2012-08-02	1684	794	2.12090680101
2012-08-01	1920	660	2.90909090909
2012-07-05	1360	566	2.40282685512
2012-08-07	1916	1017	1.88397246804
2012-08-06	1627	674	2.41394658754
2012-08-05	1262	531	2.37664783427
2012-08-04	2539	687	3.69577874818
2012-08-09	1595	772	2.06606217617
2012-08-08	1899	813	2.33579335793
2012-07-08	723	334	2.16467065868
2012-07-09	1554	682	2.27859237537
2012-10-19	4566	2048	2.2294921875
2012-10-18	4753	2584	1.83939628483
2012-10-10	3571	1819	1.96316657504
2012-10-13	2180	1111	1.96219621962
2012-10-12	5028	4814	1.04445367678
2012-10-15	3089	1423	2.17076598735
2012-10-14	2107	1234	1.7074554295
2012-10-17	30026	26282	1.14245491211
2012-10-16	4074	2285	1.7829321663
2012-06-29	685	449	1.52561247216
2012-06-28	5666	3369	1.68180468982
2012-06-27	1306	530	2.4641509434
2012-06-26	255	157	1.62420382166
2012-06-25	1225	657	1.86453576865
2012-07-15	1260	820	1.53658536585
2012-07-14	1051	615	1.70894308943
2012-07-17	405	224	1.80803571429
2012-07-16	913	475	1.92210526316
2012-07-11	1517	637	2.38147566719
2012-07-10	656	318	2.06289308176
2012-07-13	1041	533	1.9530956848
2012-07-12	1460	757	1.928665786
2012-06-30	1029	529	1.94517958412
2012-07-19	714	360	1.98333333333
2012-07-18	55	25	2.2
2012-10-28	4270	1817	2.35002751789
2012-10-29	4875	2343	2.08066581306
2012-10-24	5815	2831	2.05404450724
2012-10-25	6302	2445	2.57750511247
2012-10-26	5600	2521	2.2213407378
2012-10-27	4272	1829	2.33570256971
2012-10-20	3063	1481	2.06819716408
2012-10-21	2969	1395	2.12831541219
2012-10-22	4129	2391	1.72689251359
2012-10-23	22139	17897	1.23702296474
2012-07-28	1203	509	2.36345776031
2012-07-29	1130	475	2.37894736842
2012-07-20	1667	809	2.06056860321
2012-07-21	955	499	1.91382765531
2012-07-22	978	429	2.27972027972
2012-07-23	1517	627	2.41945773525
2012-07-24	1807	775	2.33161290323
2012-07-25	1424	717	1.98605299861
2012-07-26	1489	694	2.14553314121
2012-07-27	1557	700	2.22428571429
